cenario,descricao,Nivel_Cisterna,Incerteza_Medicao,Precipitacao,Qualidade_Enlace,Estado_Bateria,Risco_Hidrico_pct,Viabilidade_Transmissao_pct,Decisao_Operacional_pct,interpretacao
C1,Operacao normal,FALSE,FALSE,FALSE,TRUE,TRUE,8.00,93.00,20.56,Sem acao emergencial
C2,Risco de desabastecimento com boa condicao operacional,TRUE,FALSE,FALSE,TRUE,TRUE,90.00,93.00,84.72,Transmitir alerta
C3,Nivel critico mas medicao incerta,TRUE,TRUE,FALSE,TRUE,TRUE,80.00,93.00,76.90,Agir com cautela
C4,Risco hidrico com baixa viabilidade de transmissao,TRUE,FALSE,FALSE,FALSE,FALSE,90.00,15.00,59.37,Transmissao minima
C5,Sem risco hidrico mas baixa condicao operacional,FALSE,FALSE,FALSE,FALSE,FALSE,8.00,15.00,11.20,Economizar energia
